                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.26792,                0.42113,                0.17268,                0.89187,                0.98989,                0.96079,                0.98027,                0.97522,                0.98876,                 0.9597,                0.97966,                0.97074,                 0.1211,                0.44178,                0.11089,                0.93109,               0.001585,               0.001585,               0.001585
                     87,                0.26628,                0.42309,                0.17554,                0.89083,                0.98848,                0.96292,                0.97934,                0.97345,                0.98736,                0.96183,                 0.9788,                0.97041,                0.12382,                0.45603,                0.11139,                 0.9327,               0.001486,               0.001486,               0.001486
                     88,                0.26531,                 0.4229,                  0.172,                0.89111,                0.98986,                0.95828,                0.97857,                0.97329,                0.98874,                0.95719,                0.97803,                0.96934,                0.12228,                0.44732,                0.11504,                0.93163,               0.001387,               0.001387,               0.001387
                     89,                0.26184,                0.41252,                0.17138,                0.88947,                0.98881,                0.96383,                0.97827,                0.97293,                0.98769,                0.96274,                 0.9777,                0.96926,                0.11973,                0.43868,                0.11295,                0.93141,               0.001288,               0.001288,               0.001288
                     90,                0.26414,                0.41387,                0.17236,                0.89147,                 0.9886,                 0.9651,                0.97734,                0.97134,                0.98749,                0.96401,                0.97674,                0.96805,                0.11865,                0.43694,                0.11121,                0.93053,               0.001189,               0.001189,               0.001189
                     91,                0.14693,                0.32644,                 0.1335,                0.85038,                 0.9882,                 0.9651,                0.97967,                0.97442,                0.98709,                0.96401,                0.97909,                0.97089,                0.11772,                0.44572,                0.10782,                0.92979,                0.00109,                0.00109,                0.00109
                     92,                0.14222,                0.30374,                0.12542,                0.84951,                0.98954,                0.96401,                0.97981,                0.97502,                0.98842,                0.96292,                0.97923,                0.97115,                0.11652,                 0.4571,                0.10589,                0.93005,               0.000991,               0.000991,               0.000991
                     93,                0.13716,                0.32692,                0.12242,                0.84052,                0.98928,                 0.9651,                 0.9797,                0.97443,                0.98928,                 0.9651,                 0.9797,                0.97126,                 0.1175,                0.40975,                0.10714,                0.93086,               0.000892,               0.000892,               0.000892
                     94,                0.13504,                 0.3202,                0.12017,                0.84324,                0.98968,                0.96401,                0.97971,                0.97436,                0.98968,                0.96401,                0.97971,                0.97113,                0.11619,                0.39787,                0.10719,                0.93034,               0.000793,               0.000793,               0.000793
                     95,                0.13206,                0.32344,                0.11813,                0.83766,                0.98882,                0.96446,                0.97975,                 0.9751,                0.98882,                0.96446,                0.97975,                0.97166,                 0.1156,                0.40785,                 0.1064,                0.92876,               0.000694,               0.000694,               0.000694
                     96,                0.13257,                0.30334,                0.11736,                0.83898,                0.98665,                0.96728,                0.98025,                0.97511,                0.98665,                0.96728,                0.98025,                0.97167,                0.11484,                0.41445,                0.10399,                0.92822,               0.000595,               0.000595,               0.000595
                     97,                0.13179,                0.31349,                0.11448,                0.83748,                0.98774,                0.96618,                0.98038,                0.97492,                0.98774,                0.96618,                0.98038,                 0.9714,                0.11408,                0.42471,                0.10368,                0.92743,               0.000496,               0.000496,               0.000496
                     98,                0.13055,                0.31644,                0.11529,                0.83473,                0.98773,                0.96603,                0.98034,                0.97505,                0.98773,                0.96603,                0.98034,                0.97182,                0.11367,                0.42738,                0.10196,                0.92683,               0.000397,               0.000397,               0.000397
                     99,                0.12848,                0.31672,                0.11191,                0.83179,                0.98665,                0.96728,                0.98029,                0.97533,                0.98665,                0.96728,                0.98029,                0.97192,                0.11353,                0.41694,                0.10155,                 0.9266,               0.000298,               0.000298,               0.000298
                    100,                0.12669,                0.30787,                0.11034,                0.83146,                0.98665,                0.96728,                0.98033,                0.97501,                0.98665,                0.96728,                0.98033,                0.97178,                0.11363,                0.41673,                0.10117,                0.92673,               0.000199,               0.000199,               0.000199
